"cond","SID","survey_name","item","value","article_number","content","article_cond"
"self","s001","comment","1","It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.",8,"health","control"
"self","s002","comment","1","not so good i feel about this one",62,"health","control"
"social","s003","comment","1","Maybe it could do more than just make people run faster. Maybe do other things faster.",72,"health","social"
"social","s004","comment","1","Maybe dancing won't just keep the heart young, but your brain too.",14,"health","control"
"social","s005","comment","1","CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.",88,"health","social"
"social","s008","comment","1","This is about the attempt to remove the endangered species act",89,"climate","control"
"self","s009","comment","1","Healthy and nutritional value of banana over carbonated drinks",68,"health","control"
"social","s010","comment","1","CBD can help people with their pain",88,"health","social"
"social","s012","comment","1","Kids skipped school to protest demand on climate issues.",109,"climate","control"
"self","s014","comment","1","I'm interested in alternative energy.",1,"climate","self"
"social","s015","comment","1","This is a good way to be more environmentally friendly at the same time save some money.",47,"climate","social"
"social","s017","comment","1","Statin users should be aware of its drawbacks.",80,"health","control"
"social","s018","comment","1","Climate change may be disastrous in the future. Some regions may face several crises at one time.",99,"climate","control"
"self","s019","comment","1","As fossil fuels are harmful to the environment, it is desirable to use solar energy as much as possible. This will benefit the earth. It is beneficial to every human being including me so it matters if the world is adding more solar power.",93,"climate","self"
"self","s020","comment","1","It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",82,"health","self"
"self","s021","comment","1","The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.",40,"health","control"
"social","s024","comment","1","A lot of people I know care about the environment and sustainability.",27,"climate","social"
"social","s025","comment","1","This article describes how people's immune systems come together to fight off colds and flu.",100,"health","control"
"social","s028","comment","1","This is about climate",109,"climate","control"
"self","s030","comment","1","Climate changes is one of the major thing in US and it has causes 1 trillion dollar  in leading companies in the USA and it will become visible in the next 5 years .",87,"climate","control"
"social","s031","comment","1","Recycle is important.",49,"climate","control"
"self","s032","comment","1","This article expresses a lie and an attempt to undermine President Trump's prestige.",29,"climate","self"
"self","s036","comment","1","Both solar power and fossil fuels are big right now.",93,"climate","control"
"social","s037","comment","1","this news have some information about the internet usage and related stuff.",89,"climate","social"
"social","s038","comment","1","It is about a teenage girl who became popular for being outspoken over climate change.",65,"climate","control"
"self","s040","comment","1","this is known because of my home ladies",60,"health","self"
